Datetime,Water Level (m)
2024-06-29 12:00:00,0.50770676
2024-06-29 13:00:00,0.6183148
2024-06-29 14:00:00,0.6920926
2024-06-29 15:00:00,0.6895536
2024-06-29 16:00:00,0.6268402
2024-06-29 17:00:00,0.545352
2024-06-29 18:00:00,0.44963357
2024-06-29 19:00:00,0.35657632
2024-06-29 20:00:00,0.26889902
2024-06-29 21:00:00,0.1983332
2024-06-29 22:00:00,0.18314351
2024-06-29 23:00:00,0.28801933
2024-06-30 00:00:00,0.42247558
2024-06-30 01:00:00,0.5934038
2024-06-30 02:00:00,0.690139
2024-06-30 03:00:00,0.73629713
2024-06-30 04:00:00,0.7129738
2024-06-30 05:00:00,0.65200883
2024-06-30 06:00:00,0.57076293
2024-06-30 07:00:00,0.48084337
2024-06-30 08:00:00,0.40244558
2024-06-30 09:00:00,0.33130616
2024-06-30 10:00:00,0.2921022
2024-06-30 11:00:00,0.3469892
2024-06-30 12:00:00,0.47371498
2024-06-30 13:00:00,0.6258673
2024-06-30 14:00:00,0.7207667
2024-06-30 15:00:00,0.7763143
2024-06-30 16:00:00,0.76804626
2024-06-30 17:00:00,0.7052793
2024-06-30 18:00:00,0.617876
2024-06-30 19:00:00,0.5274004
2024-06-30 20:00:00,0.43763882
2024-06-30 21:00:00,0.3514575
2024-06-30 22:00:00,0.2810807
2024-06-30 23:00:00,0.2599439
2024-07-01 00:00:00,0.34728557
2024-07-01 01:00:00,0.4889242
2024-07-01 02:00:00,0.66378874
2024-07-01 03:00:00,0.7678378
2024-07-01 04:00:00,0.83329177
2024-07-01 05:00:00,0.8448257
2024-07-01 06:00:00,0.78918993
2024-07-01 07:00:00,0.7079836
2024-07-01 08:00:00,0.62449116
2024-07-01 09:00:00,0.5365683
2024-07-01 10:00:00,0.45479804
2024-07-01 11:00:00,0.39327443
2024-07-01 12:00:00,0.3847287
2024-07-01 13:00:00,0.48529217
2024-07-01 14:00:00,0.60692716
2024-07-01 15:00:00,0.7408407
2024-07-01 16:00:00,0.7929723
2024-07-01 17:00:00,0.78560627
2024-07-01 18:00:00,0.73722315
2024-07-01 19:00:00,0.65464336
2024-07-01 20:00:00,0.56911975
2024-07-01 21:00:00,0.48546368
2024-07-01 22:00:00,0.4049692
2024-07-01 23:00:00,0.33347523
2024-07-02 00:00:00,0.30110043
2024-07-02 01:00:00,0.3617624
2024-07-02 02:00:00,0.50875443
2024-07-02 03:00:00,0.69314367
2024-07-02 04:00:00,0.80836
2024-07-02 05:00:00,0.8823491
2024-07-02 06:00:00,0.8897068
2024-07-02 07:00:00,0.82395643
2024-07-02 08:00:00,0.7435154
2024-07-02 09:00:00,0.66765213
2024-07-02 10:00:00,0.58341134
2024-07-02 11:00:00,0.5056725
2024-07-02 12:00:00,0.44172174
2024-07-02 13:00:00,0.41815224
2024-07-02 14:00:00,0.47765025
2024-07-02 15:00:00,0.60304123
2024-07-02 16:00:00,0.73941207
2024-07-02 17:00:00,0.8113267
2024-07-02 18:00:00,0.81379294
2024-07-02 19:00:00,0.7592136
2024-07-02 20:00:00,0.6805741
2024-07-02 21:00:00,0.5985217
2024-07-02 22:00:00,0.516526
2024-07-02 23:00:00,0.43725827
2024-07-03 00:00:00,0.36531788
2024-07-03 01:00:00,0.32669604
2024-07-03 02:00:00,0.38447037
2024-07-03 03:00:00,0.5385166
2024-07-03 04:00:00,0.7423328
2024-07-03 05:00:00,0.8693271
2024-07-03 06:00:00,0.95252067
2024-07-03 07:00:00,0.9770612
2024-07-03 08:00:00,0.9185763
2024-07-03 09:00:00,0.83175826
2024-07-03 10:00:00,0.75305086
2024-07-03 11:00:00,0.67763454
2024-07-03 12:00:00,0.5944741
2024-07-03 13:00:00,0.52547616
2024-07-03 14:00:00,0.49147165
2024-07-03 15:00:00,0.54333436
2024-07-03 16:00:00,0.6761541
2024-07-03 17:00:00,0.8403672
2024-07-03 18:00:00,0.9109664
2024-07-03 19:00:00,0.91907924
2024-07-03 20:00:00,0.8515412
2024-07-03 21:00:00,0.7737333
2024-07-03 22:00:00,0.7001773
2024-07-03 23:00:00,0.6179457
2024-07-04 00:00:00,0.5384915
2024-07-04 01:00:00,0.46523437
2024-07-04 02:00:00,0.43655756
2024-07-04 03:00:00,0.5171532
2024-07-04 04:00:00,0.69952977
2024-07-04 05:00:00,0.9086986
2024-07-04 06:00:00,1.024983
2024-07-04 07:00:00,1.0919865
2024-07-04 08:00:00,1.1428174
2024-07-04 09:00:00,1.086775
2024-07-04 10:00:00,0.98666304
2024-07-04 11:00:00,0.88806444
2024-07-04 12:00:00,0.8192889
2024-07-04 13:00:00,0.74244
2024-07-04 14:00:00,0.6665294
2024-07-04 15:00:00,0.6302275
2024-07-04 16:00:00,0.6881241
2024-07-04 17:00:00,0.826848
2024-07-04 18:00:00,0.988119
2024-07-04 19:00:00,1.0567186
2024-07-04 20:00:00,1.0508256
2024-07-04 21:00:00,0.9717838
2024-07-04 22:00:00,0.90128624
2024-07-04 23:00:00,0.82167
2024-07-05 00:00:00,0.7450967
2024-07-05 01:00:00,0.66235316
2024-07-05 02:00:00,0.59186494
2024-07-05 03:00:00,0.5649369
2024-07-05 04:00:00,0.64808875
2024-07-05 05:00:00,0.8472532
2024-07-05 06:00:00,1.034627
2024-07-05 07:00:00,1.1584548
2024-07-05 08:00:00,1.2209051
2024-07-05 09:00:00,1.2199552
2024-07-05 10:00:00,1.123248
2024-07-05 11:00:00,1.036432
2024-07-05 12:00:00,0.9303315
